ID,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two),reviews_list,menu_item,listed_in(type),listed_in(city)
11,"GK Arcade, 125/1/18, Ashoka Pillar Rd, 1st Block, Jayanagar, Bengaluru, Karnataka 560011",Dakshin Thindi,Yes,No,4.3/5,183,9535391943,Jayanagar,Self-service,Masala Dosa,South Indian,200,"Ghee Masala Dosa - Excellent, crisp, golden brown, fantastic taste and texture. Fair amount of ghee. We tried the Pudi Plain as well, and Fantastic. Rather than going to the super priced, over crowded Rameshwaram Cafe, this place can be an excellent choice. You also can get a Parking spot here!; Dosas were crispy and on point, just like the ones at Bangalore cafe, and so were the vadas, Only not a fan of malige thatte idly served with gatti chutney.",[],Hotel,Jayanagar
12,"Cosmopolitan Club, 22nd Cross Rd, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",Chutney Chang,Yes,Yes,4.0/5,3223,8041663007,Jayanagar,Casual Dining,vegetarian and non vegetarian dishes,"Chinese, North Indian",1500,This was a pleasant experience for the family. Very nice ambiance to go with good quality food. There? plethora of options to choose from both in vegetarian and non vegetarian dishes. It was interesting to see that there were no mushroom recipes not even in soups too. We went on a Sunday evening and I wonder why it wasn? crowded for the hugest seating space available. There? good music playing on the overhead speakers to give company for scrumptious meal. Definitely recommended to visit here.,[],Restaurant,Jayanagar
13,"856, Ramanjaneya Rd, Kalappa Block, Srinagar, Banashankari, Bengaluru, Karnataka 560050",Sri Mahadeshwara Mushroom Dum Biryani,Yes,No,4.1/5,1423,6360955319,Banashankari,Self-service,Palak Mushroom,Indian Street Food,150,"It's opposite to Srinagar bus stop as we had been there in the afternoon it was too crowded. We tried Mushroom Biryani (it didn't have any extraordinary taste but normal taste with mild spicy), Palak Gobi(It was delicious and flavourful and a must try dish). Prices are reasonable for the quantity and quality they provide and they have a special menu like ghee rice during weekends.",[],Street Stalls,Banashankari
14,"18th Main Rd, Anjanaswamy Layout, Banashankari, Bengaluru, Karnataka 560070","Samruddhi Gobi Center
",No,No,3.8/5,184,9035284456,Banashankari,Self-service,"Gobi, Babycorn Manchurian",Indian Street Food,150,"Both dry and regular Gobi taste great. But the problem is the service at peak hours. You need to wait a lot and when it gets out of control and it usually does, they just make random amounts of everything and distribute to whichever customer can get their hands on it. So you'll end up eating whatever is made instead of eating whatever you want to.; It's a small shop without any place to sit. Food is good for the price. Palak Gobi is the only new thing to try here",[],Street Stalls,Banashankari
15,"66, 10th Main Rd, 4th Block, 5th Block, Jayanagar, Bengaluru, Karnataka 560011

",La Pino'z Pizza,Yes,Yes,4.2/5,407,8550022929,Jayanagar,Casual Dining,Pizza ,Italian,700,"Highly recommend this pizza joint if you're looking for some great pizza and garlic bread!Must try their 7 cheese pizza, it's something you might have never experienced . ; I orderd paneer butter masala regular pizza and mushrooms olives cheese quesadillas paid 470-/INR. Pizza cost me 270-/INR, pizza was decent in taste no wow factor was there in taste. As per the pricing pizza was soo average in taste and size.",[],Cafe,Jayanagar
16,"Jagruthi Colony, Puttenahalli, Phase 7, J. P. Nagar, Bengaluru, Karnataka 560078",Mr.Gobi,Yes,No,4.5/5,170,null,Jayanagar,Self-service,Dry Gobi,Chinese  ,200,"Mr.Gobi is certainly one of the best places to have Dry Gobi. This is a small chat centre hardly a place to sit but the owner (Sumitra Aunt) hospitality amazes you.; A small eating joint nestled in the neighborhood serving dry Gobi. They have a very limited menu of regular Gobi, palak Gobi, curry leaves Gobi, paneer dry and french fries. French fries wasn't available during our visit. We tried the regular Gobi and curry leaves Gobi and both were good.",[],Street Stalls,Jayanagar
17,"25, 9th Cross, 34th Main Rd, near Indira Gandhi Circle, ITI Layout, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078","Prasidhi Food Corner
",Yes,No,4.0/5,1500,8951454879,JP Nagar,Self-service,"Masala Dosa, Idly
","South Indian
",250,"This place serving authentic South Indian food . Weekend will be crowded as usual . I tried ghee podi masala dosa , button idli with drumstick sambar was deadly combination. Ghee podi idli with chutney was amazing . You also get Kara bath, kesaribath, rice bath , pongal and sweet pongal and much more . For lunch u get different menu like akki rotti, ragi rotti , mini meals etc. in desserts gulab jamun was my favourite. I end my breakfast with best filter coffee .; Easily spottable breakfast spot in Jp nagar, this is a place you can try out for some delicious breakfast with a huge variety! Loved the ghee dose, paddu and Thatte idlly! They also have combo meals, filter coffee, juices and more! Check it out !",[],Hotel,JP Nagar
18,"1291, 25th Main Rd, Putlanpalya, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560069","Rajvardhan Foods
",Yes,No,3.9/5,1386,8087909883,Jayanagar,Self-service,"vada pav, shrikhand, Lassi
",Indian Street Food,250,"This place offers good . Maharashtrian style dishes and is more of a shop by the road where we have limited plastic chairs/tables and may need to stand and eat at times. Parking can be a hassle, please plan accordingly. We tried their misal pav, pav bhaji, poori bhaji with shrikand, sabudana khichdi and poha. All of these dishes were quite spicy and flavourful. Shrikhand had a thick consistency and wasn't too sweet. The pooris were a little doughy and hard, felt slightly uncooked.quality Prices are economical. Decent place to stop over if around the area.; A modest take away place in Jayanagar that has been serving Maharashtrian cuisine for over 15 years. Items like vada pav, dabeli, thalipeeth, sabudana vada, khichdi, etc. are served here. I have been coming here occasionally for a number of years. And I have to say that some still have the same flavour and quality.",[],Street Stalls,Jayanagar
19,"329, 10th A Main Rd, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011","Kapoor's Cafe
",Yes,Yes,4.1/5,2368,9364151457,Jayanagar,Casual Dining,"Parathas, Lassi
",North Indian,1100,"Visited a bustling spot recently thankfully, we snagged a table upon entry due to the frequent crowds. Service was consistently quick and friendly, no complaints there. Our starters, gobi pakoda and cheese corn fingers, were delicious. However, the overall experience was marred by steep prices, especially for the winter special.; If you want to experience typical Punjabi atmosphere and food in Bengaluru this cafe is one the best option ! Interior n ambiance of hotel is really amazing! Service is prompt n staff is polite ... Kids will enjoy n love this place due to attractive lighting n ambiance !",[],Cafe,Jayanagar
20,"21/1, 10th Cross, Sampige Rd, Malleshwaram, Bengaluru, 560002
","Shyamji's Chole Bhature
",Yes,No,3.9/5,381,8088491593,Malleshwaram,Self-service,Chole Bhature ,North Indian,250,"Although Chaas was good in taste. They have other Delhi's signature dishes like Chole Samosa, kachodi etc. The chole was tasty. ;Bhature is good but chole is not matching the hype. But overall it's a good option to try once.",[],Street Stalls,Malleshwaram
21,"146, 6th C Main Road, 4th Block, Jayanagar, Bengaluru, Karnataka 560011","Kedias Fun Food
",Yes,No,4.2/5,2618,8867769557,Jayanagar,Self-service,"Pav Bajji, Paratha, Chole Bhature
",North Indian,250,"Its a very famous and old shop selling variety of parathas and snacks. We tried there kachori sabji and puri sabzi . Both were just awesome in taste. A must try for evening as well as morning breakfast. They have many combos too of Paratha and rice that are a must try.The price is very apt . The combos start for 80Rs. A must visit place.; The food is tasty, hygienic and there? consistency in the flavours. I have been going here for 10 years now and I take all of my friends and family here",[],Street Stalls,Jayanagar
22,"22/1, Police Station Rd, Basavanagudi, Bengaluru, Karnataka 560004",By2Coffee,Yes,No,4.4/5,5100,8310478212,Basavanagudi,Self-service,"Masala Dosa, Idly, Kharabath

","South Indian
",200,Good food. Affordable. The chutney is good. The vade is crispy. Masala dose is crispy good but not exceptional in terms of flavour. Quick service on weekdays. No place to sit and eat just stand on the footpath.; Waah I really enjoyed the south indian breakfast. One of the best Chutney dip Idli i had in the recent past. Dosa is the best. kara batch can be batter. bought Aloo chips super yummy taste- after MTR spicy chips again i saw here.,[],Hotel,Basavanagudi
23,"10th Cross Rd, Yalappa Garden, Malleshwaram, Bengaluru, Karnataka 560003","Shivaji Chats
",Yes,No,4.5/5,33,null,Malleshwaram,Self-service,"Masala Puri, Pani P
uri",Indian Street Food,120,"One of the oldest chats center of Malleshwaram serving since 35+years.; The taste of snacks was really too good. I tried samosa chat, masala puri, Pani puri, sev puri and most unique recipe of this snack center is crazy receipe. The taste was really good in all ways like salt, spice and sour and sweet. Everything was perfect. Must visit this place whenever you visit Malleswaram. The landmark for this shop is MTR shop. The price is also worth.",[],Street Stalls,Malleshwaram
24,"38/4, Ground Floor, 8th F Main Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",Pailwan Pulao,Yes,No,4.2/5,780,9606910178,Jayanagar,Self-service,"Pulav, Chapati Curry, Custard
",South Indian,250,"The prices are affordable but the quantity is too low, a better pricing with a good quantity would be appreciated. Southindian food for lunch is the only option I can decide within a second.Curd rice is my fav and it tasted so homely, so sufficient. The entire meal costed less than ?200 and I'm stuffed already.Custard box looks cute and tastes tasty.Buttermilk came so fresh and yum.Gravy I felt could be better whereas coconut chutney is so good.Order now and enjoy",[],Hotel,Jayanagar
25,"7th Cross Rd, NR Colony, Basavanagudi, Bengaluru, Karnataka 560019",Hotel Dwarka,Yes,No,4.3/5,8900,9886757366,Basavanagudi,Self-service,"Rava Vada, Masala Dosa
","South Indian
",250,"Old is gold, old is legacy, old is tasty!All of these hold good for Hotel Dwaraka. Their iconic benne khali is still relevant, is still the best. With chutney just keep flowing in the plate, soaking the dose, the taste is always heavenly. A cup of an amazing filter coffee is a perfect ending to this savoring journey. ; An old restaurant.  If you are looking forward to having Rava Vada then they are available only in the evening so plan accordingly.",[],Hotel,Basavanagudi
26,"17th Cross Rd, 5th Phase, JP Nagar Phase 5, J. P. Nagar, Bengaluru, Karnataka 560078",Raja Gobi,No,No,4.1/5,4200,9901747631,JP Nagar,Self-service,"Gobi, Babycorn Manchurian",Chinese  ,250,"If you are in and around JP Nagar 5th phase ,you must have heard about this place .Our last visit was way back in time ,but now everything has changed here . We have to stand in queue (typical waiting period is 1 hour ) to get the Gobi . The Gobi tastes just like restaurant style . I just felt it's just hype that has made this shop popular.(just my opinion) For us it's just another good Gobi Manchurian in the neighbourhood (as this is not our first visit ). If you are in the neighbourhood just visit the shop once and drop your reviews . The quantity is really heavy for 1 person ,so I suggest buying 1 plate and sharing with 2 people is good enough . ; Honest review: After waiting for 1 hour in the queue, I finally received my Gobi Manchurian. The taste was above average, but not worth the 1-hour wait. The place seemed hygienic compared to other street food stalls, but street food is street food in the end. While waiting in the queue, I noticed they were cleaning the utensils from time to time.",[],Street Stalls,JP Nagar
27,"143, Diagonal Rd, near Minerva circle, Parvathipuram, Vishweshwarapura,,Basavanagudi Bengaluru, Karnataka 560004","New Modern Hotel
",No,No,3.6/5,352,null,Basavanagudi,Self-service,"Masala Dosa, Idly
","South Indian
",200,Masala dosa is always my favorite one. ; The food was quite good,[],Hotel,Basavanagudi
28,"Rangarao Rd, near Shankar Mutt Road, Shankarapura, Bengaluru, Karnataka 560004","Brahmins' Coffee Bar
",Yes,No,4.5/5,21126,9845030234,Basavanagudi,Self-service,"Masala Dosa, Idly, Kharabath

","South Indian
",250,Great food. Idlys are softest you can ever find. But the lack of seating space makes this place viable to stress and difficulty. Parking is tough if you have four wheeler. And prices are rock high. 20rs/piece of idli. Coffee is great as well. ; One of the older restaurants in south Bangalore. This is the original Brahmin? coffee Bar. Subsequently many places with same name have started in Bangalore though they are not related.,[],Hotel,Basavanagudi
29,"373/1, 10th Cross Rd, 2nd Block, Jaya Nagar East, Jayanagar, Bengaluru, Karnataka 560011","Namma SLN Veg
",Yes,No,4.4/5,1900,9141311350,Basavanagudi,Self-service,"Masala Dosa, Idly
","South Indian
",250,"This restaurant operates on a self-service basis, offering fantastic authentic Bengaluru cuisine. The special Sabbakki Soppu dosa, idly, and pulav rice bath are truly impressive. Despite its small size, the restaurant is often crowded. Four-wheeler parking is available. I particularly enjoyed the filter coffee to conclude my morning breakfast, recommended by a colleague after a refreshing walk.; We tried their Thatte Idly which was soft and served with chutney and a bit of sagu. The taste was really good. Next we had the Ghee Podi Dosa which had lots of podi. The taste was good. The chutney here is really good.",[],Hotel,Basavanagudi
30,"78A, 36th ""A' cross, 2nd Main Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560070","Dhanyam Cafe
",Yes,No,4.9/5,86,8951180664,Jayanagar,Self-service,"Masala Dosa, Idly, Kharabath, Sajige, All Healthy Foods

","South Indian
",250,"This adorable spot called Dhanyam Cafe totally won me over! Even though I wasn't a big fan of South Indian cuisine before, their food is simply heavenly.This place just stole my heart with its beautiful ambiance and the incredible taste of their dishes. What's amazing is that they serve top-notch quality food and you can get anything you ask for at really reasonable prices. Check out these pics? mean, just look at how delicious everything looks! I'm definitely coming back for more?t's a vibe! ; We ordered the Ragi Idli which is served with chutney and sambar. The Ragi Idly was delicious especially with the chutney. The chutney was simple yet flavorful. The sambar was good if not great, it was a lot thicker than other places.",[],Cafe,Jayanagar
31,"Gandhi Bazaar Main Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",Dwarkamai,Yes,Yes,3.9/5,1664,8861944441,Basavanagudi,Casual Dining,"Bamboo Biriyani, Sizzling Brownie","Chinese, North Indian",1300,"Highly recommended!!Visited twice last week with friends and cousins. Loved everything about it, and really good service. Best place for vegetarian foodies. They have a lot of variety of food option and decent food quantity. Must try any of the tandoori starters and their signature dish Bamboo biriyani. ; If you are going to Gandhi Bazaar for shopping and looking for best veg restaurant this is definitely a must visit place and it? a award winning restaurant.",[],Restaurant,Basavanagudi
32,"Trulife, Mahabodhi Hospital Compound, Lalbagh Siddapura Rd, Jaya Nagar 1st Block, Arekempanahalli, Jayanagar, Bengaluru, Karnataka 560011","Cafe Amudham
",Yes,Yes,4.6/5,782,null,Jayanagar,Self-service,"Masala Dosa, Idly
","South Indian
",300,"An easily accessible outlet, close to Lalbagh. Service, food quality and taste is as you would find in a similar Tindi across South Bangalore. I liked the thick, groovy and textured chutneys, coconut mint, tomato and another green flavor.; Overall, good place to grab a quick bite, and use the outdoor seating area.",[],Cafe,Jayanagar
33,"101, Ground floor, 1/1, 10th cross, KKP main road, opposite Blue dart courier, 7th Block, Jayanagar, Bengaluru, Karnataka 560059","Just Chole Bhature
",Yes,No,4.3/5,661,9110438343,Jayanagar,Self-service,"Chole Bhature, Sandwich, Gralic bread
",North Indian,350,"Located on the main road of Jayanagar. It has less seating space which is outside the shop i.e on the footpath. We ordered chole bhature, paneer parota, Dhabeli, ulta vada pav and Pani puri. All items were good",[],Cafe,Jayanagar
34,"Venezia, #12, 32nd Cross Rd, 7th Block, Jayanagar, Bengaluru, Karnataka 560070",Venezia,Yes,Yes,4.2/5,886,8904870485,Jayanagar,Casual Dining,"Pasta, Cheese Cigar Roll, Crispy Ravioli
",Italian,1200,"Recently visited Venezia in Jayanagar and had an exceptional experience indulging in authentic Italian cuisine. The delightful ambiance adds to the charm, while the top-notch food quality truly stood out. Don't miss the rooftop seating area ·a perfect spot to chill with family and friends. Highly recommend for a memorable dining experience!",[],Restaurant,Jayanagar
35,"6
8/150/4, Second Floor, 9th Main Rd, Jaya Nagar 1st Block, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011","Now Boarding Cafe
",Yes,Yes,4.6/5,1125,9663568855,Jayanagar,Casual Dining,"Pizza, Pasta",Italian,1200,A really good place if you wanna spend time with your friends or family. They have hundreds of games to play which are really fun and enjoyable! They charge 100 per person per hour and you can play one game per hour. Avoid going on weekends as it is crowded. Food is also delicious.,[],Cafe,Jayanagar
36,"12, 1st Main Rd, 4 E Block, NR Colony, Basavanagudi, Bengaluru, Karnataka 560004","HELLO! Dose Master
",Yes,No,4.1/5,907,null,Basavanagudi,Self-service,"Masala Dosa, Idly, Kharabath

","South Indian
",200,"A small place with clean and neat interiors. All types of dosas, sweets and other options available all only in veg. ; Hello! Dosa Master is located in Basavanagudi just opposite South Kitchen. It is from the same franchise. There is no seating arrangement here. The menu is limited.",[],Hotel,Basavanagudi
37,"21, 11th Cross Rd, Malleshwaram, Bengaluru, Karnataka 560003","Amrith Ice Cream
",Yes,No,4.3/5,1913,23345035,Malleshwaram,Self-service,"Roasted Almond with Super Chocolate, Fruit Salad With Ice Cream
","Ice Creams and Beverages
",150,"Amrith Ice Cream in Malleshwaram is a delightful ice cream parlor. Their Amrith Special, where you can select three additional scoops of ice cream along with vanilla, is a brilliant concept. I tried the Mango Cone Ice Cream, which was a perfect blend of creaminess and mango flavor, and the Triple Fantasy, which lived up to its name with it dreamy taste. ;I went to this ice cream shop first time , good , decent, premium quality ice I willl say.",[],Cafe,Malleshwaram
38,"5th Cross Rd, Gayathri Devi Park Extension, Kodandarampura, Malleshwaram, Bengaluru, Karnataka 560003","Sri Sai Ram Chats and Juice
",Yes,No,4.4/5,3142,50701128,Malleshwaram,Self-service,"Masala Puri, Pani P
uri",Indian Street Food,150,Great place which offers chats. They even have dry chats like different varieties of chips which is then prepared to dry chats. The owner is friendly. The price is reasonable. There are plenty of options for dry chats. Must visit place if your in Malleswaram,[],Street Stalls,Malleshwaram
39,"2nd Floor, 281, 15th Cross Rd, 5th Phase, KR Layout, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078",Sattvam,Yes,Yes,4.2/5,4829,9483275526,JP Nagar,Buffet,"Desserts, Salads, Lassi
","South Indian, North Indian
",1600,"The place had an amazing vibe right from its entrance. Lighting and colorful decor energize anyone entering the place.The staff was attentive, friendly, and clearly passionate about sharing their love of sattvic food with their guests. Every dish was the care and attention to detail.I visited for dinner & tried their pure veg buffet, free from onion & garlic.; My rating for current experience is 5/5.Rating in different departments is as follows.Food - 5/5 Service - 5/5 Ambiance - 5/5 Drinks - 5/5",[],Restaurant,JP Nagar
40,"33, 36th Cross Rd, 4th T Block East, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041","Eshanya Street Food Cafe
",Yes,Yes,4.1/5,6112,8884420925,JP Nagar,Casual Dining,"Oreo Shake, Pizza, Pasta
","Chinese, North Indian",1200,"Discovering hidden gems in Jayanagar, Bangalore Recently explored this amazing rooftop cafe and I must say, the sandwich here is absolutely mind-blowing! But let's talk about their sizzlers – hands down the best I've ever tasted Follow me for more mouth-watering content and let's explore the foodie paradise together!",[],Cafe,Jayanagar
41,"71, 8th C Main Road, 4th T Block East, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",Anantha,Yes,Yes,4.3/5,311,9790311181,Jayanagar,Casual Dining,"Masala Dosa, Idly, Roti Curry

","South Indian, North Indian
",1000,"It’s a pure vegetarian restaurant in first floor, new restaurant with good ambience. Food is delicious, prices are decent, staffs are friendly, service was quick. We had been for lunch on a week day so not much crowded. Chats available in the ground floor during evening. No 4 wheeler parking, roadside parking available for 2 wheelers. Party hall is also available.",[],Restaurant,Jayanagar
42,"1st Block, 7 Block, Kanakapura Rd, 1st Block, 7th Block, Jayanagar, Bengaluru, Karnataka 560082","Ramanna Chats
",No,No,4.4/5,587,9964217329,Jayanagar,Self-service,"Masala Puri, Pani P
uri",Indian Street Food,120,One of the oldest chaat stalls in Bangalore. Ramanna has been here over 25+ yrs and till date happily interacts with customers and there to make the South Indian chaats. The taste here is very different and consistent over years.,[],Street Stalls,Jayanagar
43,"112, Gandhi Bazaar Main Rd, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004",Baisakhi ,Yes,Yes,4.0/5,2864,7204339999,Basavanagudi,Casual Dining,"Punjabi Thali
","Chinese, North Indian",1200,"Indulging in the rich flavors of Punjab at Baisakhi, a delightful vegetarian restaurant in Bangalore. From the comforting sarso da saag to the crispy makke di roti, every bite is a celebration of Punjabi cuisine. If you're craving authentic Punjabi and North Indian food, this is the place to be! The vibrant ambiance and mouth-watering dishes make it a must-visit for all food enthusiasts. Get ready to experience a burst of flavors that will leave your taste buds dancing with joy. Baisakhi is where tradition meets innovation, and every dish tells a story of love and passion for food.",[],Restaurant,Basavanagudi
44,"172, Kavi Lakshmisha Rd, opp. to Jain College, Parvathipuram, Vishweshwarapura, Basavanagudi, Bengaluru, Karnataka 560004","Bob Street Outlet
",No,No,4.0/5,40,null,Basavanagudi,Self-service,"Chili Garlic Noodles

",Chinese  ,350,"Bob Street excels in offering a pocket-friendly vegetarian feast with 100+ options spanning Chinese, Italian, Tandoori, milkshakes, and mojitos – all under 200 INR. Despite the affordability, the restaurant impressively maintains top-notch quality and taste. From flavorful Tandoori dishes to refreshing drinks, Bob Street is a go-to spot for diverse cravings, ensuring a delightful culinary experience without burning a hole in your pocket",[],Cafe,Basavanagudi
45,"55, 30th Cross Rd, Jaya Nagar 1st Block, Jayanagar 3rd Block East, Jayanagar, Bengaluru, Karnataka 560011","Charcoal Veg Grill
",Yes,Yes,3.5/5,106,7947422807,Jayanagar,Casual Dining,Veg BBQ,Chinese  ,1400,Prime location. Good atmosphere. Best service. Welcome drink is best. Awesome taste of starters and white sauce pasta. Moderate taste of maincourse. Few menu items are not available today may be in weekday. Decent menu served on tables. Not exact buffet.... over all good. They offered complementary cake for bday cutting thanks for that... Best approach and well serviced by them.,[],Restaurant,Jayanagar
46,"66/1 1st floor 33rd cross, above Ajfan dates, 7th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011","Food Springs
",Yes,Yes,4.1/5,1723,9108876091,Jayanagar,Casual Dining,"Panner Pops, Crispy Corn",Chinese  ,600,Very good pan Pan Asian place which also has a jain option with a reasonable price in Jayanagar .; The restaurant is in the first floor and can accommodate around 50 people at once . Washroom was clean even when the restaurant was jam packed,[],Cafe,Jayanagar
47,"24, CJ Venkatesh Das Rd, Banashankari, Bengaluru, Karnataka 560070","Brahma B
owl",Yes,No,3.9/5,509,"9964534569
",Banashankari,Self-service,"Hakka Noodles, Soup
",Chinese  ,300,"The Brahma Bowl in Banashankari provides a unique self-service experience, priding itself on creating dishes without the use of taste makers or artificial flavors – a commendable aspect. During our visit, we sampled two dishes: the paneer pepper dry and hakka noodles, along with a soup.",[],Hotel,Banashankari
48,"311, 33rd Main Rd, opp. FRANK PUBLIC SCHOOL, JP Nagar 6th Phase, KR Layout,Bengaluru.","Sandwich Guru
",Yes,No,4.7/5,79,null,JP Nagar,Self-service,"Sandwich, French Fries
",Indian Street Food,250,"We had 2 sandwichs, Paneer corn cheese sandwich and paneer butter masala sandwich. Both were good and the first one was excellent. They also have beverages., tried cold badam and hot badam. That was good too. This place is open from 8 AM to 12 PM in the night. So in case you don't want to have dinner and eat something light. This place is best. Even for evening snacks I would recommend this place. Overall good place for sandwich lovers.",[],Street Stalls,JP Nagar
